5.0 (5):	Murray Hotel Fudge Company at the Murray Hotel
4.8 (276):	Joann's Fudge
4.8 (14):	Ryba's Fudge Shop - Mall Store
4.7 (53):	May's Candy Shop
4.6 (519):	Doud's Market
4.6 (5):	Ryba’s Fudge Shops: Corby Store
4.5 (255):	Sanders Chocolate & Ice Cream Shoppe - Mackinac
4.4 (775):	Murray Hotel
4.4 (163):	Original Murdick's Fudge
4.3 (189):	Ryba's Fudge Shop - Cornerstore
4.1 (36):	Murdick's Fudge Kitchen
