1. Joann’s Fudge: 4.5 (104 reviews)
2. Original Murdick’s Fudge of Mackinac Island: 4.0 (63 reviews)
3. Ryba’s Fudge Shops: 3.9 (92 reviews)
4. Joann’s Fudge Shop: 4.8 (11 reviews)
5. Murray Hotel Fudge: 4.5 (11 reviews)
6. May’s Candy Shop: 4.2 (21 reviews)
7. Sanders Chocolate & Ice Cream Shops: 3.8 (33 reviews)
8. Kilwin’s of Mackinac: 3.7 (11 reviews)
9. Sadie’s Ice Cream Parlor: 4.6 (45 reviews)
10. Sanders: 5.0 (3 reviews)
